municipality_id,municipality,income_per_capita
1,Aeugst am Albis,54895.0
2,Affoltern am Albis,33508.0
3,Bonstetten,41098.0
4,Hausen am Albis,43272.0
5,Hedingen,43887.0
6,Kappel am Albis,43827.0
7,Knonau,38521.0
8,Maschwanden,33784.0
9,Mettmenstetten,40987.0
10,Obfelden,33601.0
11,Ottenbach,39707.0
12,Rifferswil,40349.0
13,Stallikon,47763.0
14,Wettswil am Albis,53931.0
21,Adlikon,36178.0
22,Benken (ZH),39973.0
23,Berg am Irchel,59863.0
24,Buch am Irchel,35774.0
25,Dachsen,39148.0
26,Dorf,36457.0
27,Feuerthalen,35127.0
28,Flaach,33880.0
29,Flurlingen,44436.0
30,Andelfingen,39295.0
31,Henggart,36030.0
32,Humlikon,39187.0
33,Kleinandelfingen,36426.0
34,Laufen-Uhwiesen,48764.0
35,Marthalen,39054.0
37,Ossingen,34203.0
38,Rheinau,33057.0
39,Thalheim an der Thur,35678.0
40,Trüllikon,34465.0
41,Truttikon,34222.0
43,Volken,37565.0
51,Bachenbülach,36251.0
52,Bassersdorf,36293.0
53,Bülach,34807.0
54,Dietlikon,37835.0
55,Eglisau,37339.0
56,Embrach,31069.0
57,Freienstein-Teufen,37281.0
58,Glattfelden,32995.0
59,Hochfelden,36052.0
60,Höri,27144.0
61,Hüntwangen,40257.0
62,Kloten,31967.0
63,Lufingen,43084.0
64,Nürensdorf,48317.0
65,Oberembrach,41500.0
66,Opfikon,32869.0
67,Rafz,35362.0
68,Rorbas,29391.0
69,Wallisellen,42118.0
70,Wasterkingen,36308.0
71,Wil (ZH),39216.0
72,Winkel,57382.0
81,Bachs,35828.0
82,Boppelsen,55036.0
83,Buchs (ZH),34373.0
84,Dällikon,32853.0
85,Dänikon,34545.0
86,Dielsdorf,32692.0
87,Hüttikon,42755.0
88,Neerach,59709.0
89,Niederglatt,33183.0
90,Niederhasli,32455.0
91,Niederweningen,38607.0
92,Oberglatt,27485.0
93,Oberweningen,39596.0
94,Otelfingen,37968.0
95,Regensberg,48259.0
96,Regensdorf,31584.0
97,Rümlang,31330.0
98,Schleinikon,39057.0
99,Schöfflisdorf,43812.0
100,Stadel,36638.0
101,Steinmaur,35182.0
102,Weiach,31430.0
111,Bäretswil,34736.0
112,Bubikon,37655.0
113,Dürnten,33204.0
114,Fischenthal,27950.0
115,Gossau (ZH),37348.0
116,Grüningen,38986.0
117,Hinwil,34267.0
118,Rüti (ZH),30136.0
119,Seegräben,37407.0
120,Wald (ZH),28335.0
121,Wetzikon (ZH),31837.0
131,Adliswil,42365.0
135,Kilchberg (ZH),92924.0
136,Langnau am Albis,43026.0
137,Oberrieden,60423.0
138,Richterswil,42196.0
139,Rüschlikon,88890.0
141,Thalwil,57609.0
151,Erlenbach (ZH),91114.0
152,Herrliberg,89425.0
153,Hombrechtikon,36068.0
154,Küsnacht (ZH),91415.0
155,Männedorf,51191.0
156,Meilen,68581.0
157,Oetwil am See,30131.0
158,Stäfa,50649.0
159,Uetikon am See,58006.0
160,Zumikon,86600.0
161,Zollikon,87131.0
172,Fehraltorf,35914.0
173,Hittnau,37870.0
176,Lindau,40449.0
177,Pfäffikon,39312.0
178,Russikon,41161.0
180,Weisslingen,40988.0
181,Wila,30696.0
182,Wildberg,35356.0
191,Dübendorf,38457.0
192,Egg,44647.0
193,Fällanden,42444.0
194,Greifensee,41964.0
195,Maur,54293.0
196,Mönchaltorf,35091.0
197,Schwerzenbach,37195.0
198,Uster,38595.0
199,Volketswil,36462.0
200,Wangen-Brüttisellen,38051.0
211,Altikon,37822.0
213,Brütten,50404.0
214,Dägerlen,36055.0
215,Dättlikon,42661.0
216,Dinhard,39689.0
218,Ellikon an der Thur,37513.0
219,Elsau,35628.0
220,Hagenbuch,33667.0
221,Hettlingen,45586.0
223,Neftenbach,40231.0
224,Pfungen,32063.0
225,Rickenbach (ZH),33065.0
226,Schlatt (ZH),30934.0
227,Seuzach,43099.0
228,Turbenthal,27046.0
230,Winterthur,32488.0
231,Zell (ZH),29914.0
241,Aesch (ZH),53440.0
242,Birmensdorf (ZH),40585.0
243,Dietikon,26289.0
244,Geroldswil,36381.0
245,Oberengstringen,37265.0
246,Oetwil an der Limmat,49331.0
247,Schlieren,29524.0
248,Uitikon,75434.0
249,Unterengstringen,44557.0
250,Urdorf,35388.0
251,Weiningen (ZH),38380.0
261,Zürich,42364.0
292,Stammheim,32789.0
293,Wädenswil,42936.0
294,Elgg,32489.0
295,Horgen,48403.0
296,Illnau-Effretikon,32201.0
297,Bauma,30989.0
298,Wiesendangen,40149.0
301,Aarberg,32208.0
302,Bargen (BE),27490.0
303,Grossaffoltern,32191.0
304,Kallnach,31065.0
305,Kappelen,35021.0
306,Lyss,31623.0
307,Meikirch,38506.0
309,Radelfingen,32306.0
310,Rapperswil (BE),34584.0
311,Schüpfen,33909.0
312,Seedorf (BE),33018.0
321,Aarwangen,28445.0
322,Auswil,23122.0
323,Bannwil,29542.0
324,Bleienbach,26453.0
325,Busswil bei Melchnau,
326,Gondiswil,22880.0
329,Langenthal,29221.0
331,Lotzwil,26279.0
332,Madiswil,26962.0
333,Melchnau,25529.0
334,Obersteckholz,28076.0
335,Oeschenbach,
336,Reisiswil,
337,Roggwil (BE),25675.0
338,Rohrbach,23970.0
339,Rohrbachgraben,
340,Rütschelen,23161.0
341,Schwarzhäusern,30436.0
342,Thunstetten,27888.0
344,Ursenbach,23811.0
345,Wynau,25599.0
351,Bern,36370.0
352,Bolligen,42147.0
353,Bremgarten bei Bern,43896.0
354,Kirchlindach,44652.0
355,Köniz,34764.0
356,Muri bei Bern,49510.0
357,Oberbalm,28045.0
358,Stettlen,37572.0
359,Vechigen,35605.0
360,Wohlen bei Bern,39269.0
361,Zollikofen,32457.0
362,Ittigen,34279.0
363,Ostermundigen,28319.0
371,Biel/Bienne,25970.0
372,Evilard,42927.0
381,Arch,30532.0
382,Büetigen,30226.0
383,Büren an der Aare,30285.0
385,Diessbach bei Büren,29762.0
386,Dotzigen,26927.0
387,Lengnau (BE),26751.0
388,Leuzigen,27109.0
389,Meienried,
390,Meinisberg,28851.0
391,Oberwil bei Büren,27891.0
392,Pieterlen,24020.0
393,Rüti bei Büren,27660.0
394,Wengi,31743.0
401,Aefligen,29523.0
402,Alchenstorf,31486.0
403,Bäriswil,33709.0
404,Burgdorf,29413.0
405,Ersigen,29976.0
406,Hasle bei Burgdorf,25122.0
407,Heimiswil,24482.0
408,Hellsau,
409,Hindelbank,31692.0
410,Höchstetten,28042.0
411,Kernenried,30250.0
412,Kirchberg (BE),33354.0
413,Koppigen,30994.0
414,Krauchthal,31672.0
415,Lyssach,29594.0
416,Mötschwil,
418,Oberburg,24557.0
420,Rüdtligen-Alchenflüh,27000.0
421,Rumendingen,
422,Rüti bei Lyssach,
423,Willadingen,
424,Wynigen,25990.0
431,Corgémont,27392.0
432,Cormoret,27080.0
433,Cortébert,25772.0
434,Courtelary,27368.0
435,La Ferrière,28519.0
437,Mont-Tramelan,
438,Orvin,30625.0
441,Renan (BE),24928.0
442,Romont (BE),32817.0
443,Saint-Imier,24946.0
