year,municipality_id,municipality_hist_id,total_population,municipality,income_per_capita
2023.0,1,13256.0,558.0,Aeugst am Albis,54895.0
2023.0,2,11742.0,1916.0,Affoltern am Albis,33508.0
2023.0,3,11801.0,1115.0,Bonstetten,41098.0
2023.0,4,11992.0,1088.0,Hausen am Albis,43272.0
2023.0,5,12249.0,874.0,Hedingen,43887.0
2023.0,6,12671.0,356.0,Kappel am Albis,43827.0
2023.0,7,12674.0,520.0,Knonau,38521.0
2023.0,8,12738.0,179.0,Maschwanden,33784.0
2023.0,9,12433.0,1185.0,Mettmenstetten,40987.0
2023.0,10,12497.0,1288.0,Obfelden,33601.0
2023.0,11,13124.0,764.0,Ottenbach,39707.0
2023.0,12,12891.0,332.0,Rifferswil,40349.0
2023.0,13,10575.0,920.0,Stallikon,47763.0
2023.0,14,13255.0,1102.0,Wettswil am Albis,53931.0
,21,,,Adlikon,36178.0
2023.0,22,11862.0,266.0,Benken (ZH),39973.0
2023.0,23,11855.0,242.0,Berg am Irchel,59863.0
2023.0,24,15513.0,331.0,Buch am Irchel,35774.0
2023.0,25,11573.0,573.0,Dachsen,39148.0
2023.0,26,12182.0,226.0,Dorf,36457.0
2023.0,27,11973.0,794.0,Feuerthalen,35127.0
2023.0,28,11997.0,438.0,Flaach,33880.0
2023.0,29,11935.0,408.0,Flurlingen,44436.0
,30,,,Andelfingen,39295.0
2023.0,31,12240.0,562.0,Henggart,36030.0
,32,,,Humlikon,39187.0
2023.0,33,12699.0,629.0,Kleinandelfingen,36426.0
2023.0,34,12635.0,532.0,Laufen-Uhwiesen,48764.0
2023.0,35,12742.0,577.0,Marthalen,39054.0
2023.0,37,13128.0,494.0,Ossingen,34203.0
2023.0,38,12912.0,408.0,Rheinau,33057.0
2023.0,39,10563.0,294.0,Thalheim an der Thur,35678.0
2023.0,40,10898.0,377.0,Trüllikon,34465.0
2023.0,41,10899.0,159.0,Truttikon,34222.0
2023.0,43,10365.0,118.0,Volken,37565.0
2023.0,51,11683.0,642.0,Bachenbülach,36251.0
2023.0,52,11685.0,1801.0,Bassersdorf,36293.0
2023.0,53,11461.0,2384.0,Bülach,34807.0
2023.0,54,11563.0,1057.0,Dietlikon,37835.0
2023.0,55,12168.0,1125.0,Eglisau,37339.0
2023.0,56,12292.0,1588.0,Embrach,31069.0
2023.0,57,11960.0,583.0,Freienstein-Teufen,37281.0
2023.0,58,12056.0,1085.0,Glattfelden,32995.0
2023.0,59,12166.0,446.0,Hochfelden,36052.0
2023.0,60,12220.0,508.0,Höri,27144.0
2023.0,61,12178.0,361.0,Hüntwangen,40257.0
2023.0,62,12673.0,2061.0,Kloten,31967.0
2023.0,63,12720.0,536.0,Lufingen,43084.0
2023.0,64,12547.0,1146.0,Nürensdorf,48317.0
2023.0,65,12524.0,285.0,Oberembrach,41500.0
2023.0,66,12483.0,1534.0,Opfikon,32869.0
2023.0,67,13090.0,1023.0,Rafz,35362.0
2023.0,68,12919.0,658.0,Rorbas,29391.0
2023.0,69,10451.0,2057.0,Wallisellen,42118.0
2023.0,70,10443.0,198.0,Wasterkingen,36308.0
2023.0,71,10268.0,470.0,Wil (ZH),39216.0
2023.0,72,10331.0,848.0,Winkel,57382.0
2023.0,81,11704.0,186.0,Bachs,35828.0
2023.0,82,11786.0,377.0,Boppelsen,55036.0
2023.0,83,11456.0,897.0,Buchs (ZH),34373.0
2023.0,84,11578.0,580.0,Dällikon,32853.0
2023.0,85,11581.0,391.0,Dänikon,34545.0
2023.0,86,11567.0,895.0,Dielsdorf,32692.0
2023.0,87,12181.0,298.0,Hüttikon,42755.0
2023.0,88,12537.0,793.0,Neerach,59709.0
2023.0,89,12534.0,856.0,Niederglatt,33183.0
2023.0,90,12560.0,1666.0,Niederhasli,32455.0
2023.0,91,12568.0,746.0,Niederweningen,38607.0
2023.0,92,12469.0,978.0,Oberglatt,27485.0
2023.0,93,12447.0,430.0,Oberweningen,39596.0
2023.0,94,13126.0,569.0,Otelfingen,37968.0
2023.0,95,13166.0,104.0,Regensberg,48259.0
2023.0,96,13168.0,2184.0,Regensdorf,31584.0
2023.0,97,12834.0,1107.0,Rümlang,31330.0
2023.0,98,13046.0,234.0,Schleinikon,39057.0
2023.0,99,13037.0,355.0,Schöfflisdorf,43812.0
2023.0,100,10383.0,596.0,Stadel,36638.0
2023.0,101,10597.0,691.0,Steinmaur,35182.0
2023.0,102,10448.0,385.0,Weiach,31430.0
2023.0,111,11709.0,1253.0,Bäretswil,34736.0
2023.0,112,11478.0,1596.0,Bubikon,37655.0
2023.0,113,12159.0,1722.0,Dürnten,33204.0
2023.0,114,12002.0,792.0,Fischenthal,27950.0
2023.0,115,12023.0,2179.0,Gossau (ZH),37348.0
2023.0,116,11970.0,823.0,Grüningen,38986.0
2023.0,117,12156.0,2426.0,Hinwil,34267.0
2023.0,118,12883.0,2235.0,Rüti (ZH),30136.0
2023.0,119,12951.0,384.0,Seegräben,37407.0
2023.0,120,10459.0,2004.0,Wald (ZH),28335.0
2023.0,121,10277.0,3301.0,Wetzikon (ZH),31837.0
2023.0,131,11745.0,2251.0,Adliswil,42365.0
2023.0,135,12701.0,1500.0,Kilchberg (ZH),92924.0
2023.0,136,12637.0,1476.0,Langnau am Albis,43026.0
2023.0,137,12461.0,911.0,Oberrieden,60423.0
2023.0,138,12907.0,2456.0,Richterswil,42196.0
2023.0,139,12832.0,982.0,Rüschlikon,88890.0
2023.0,141,10691.0,2395.0,Thalwil,57609.0
2023.0,151,12301.0,1200.0,Erlenbach (ZH),91114.0
2023.0,152,12316.0,1434.0,Herrliberg,89425.0
2023.0,153,12143.0,1867.0,Hombrechtikon,36068.0
2023.0,154,12592.0,2895.0,Küsnacht (ZH),91415.0
2023.0,155,12754.0,1895.0,Männedorf,51191.0
2023.0,156,12408.0,2424.0,Meilen,68581.0
2023.0,157,12501.0,864.0,Oetwil am See,30131.0
2023.0,158,10363.0,2751.0,Stäfa,50649.0
2023.0,159,13259.0,1122.0,Uetikon am See,58006.0
2023.0,160,10326.0,1055.0,Zumikon,86600.0
2023.0,161,13683.0,2130.0,Zollikon,87131.0
2023.0,172,11989.0,893.0,Fehraltorf,35914.0
2023.0,173,12161.0,943.0,Hittnau,37870.0
2023.0,176,12821.0,1202.0,Lindau,40449.0
2023.0,177,13137.0,2062.0,Pfäffikon,39312.0
2023.0,178,12831.0,1262.0,Russikon,41161.0
2023.0,180,10389.0,973.0,Weisslingen,40988.0
2023.0,181,10242.0,572.0,Wila,30696.0
2023.0,182,10334.0,318.0,Wildberg,35356.0
2023.0,191,12205.0,3473.0,Dübendorf,38457.0
2023.0,192,12123.0,1803.0,Egg,44647.0
2023.0,193,12248.0,1412.0,Fällanden,42444.0
2023.0,194,12073.0,619.0,Greifensee,41964.0
2023.0,195,12620.0,2246.0,Maur,54293.0
2023.0,196,12427.0,825.0,Mönchaltorf,35091.0
2023.0,197,12956.0,639.0,Schwerzenbach,37195.0
2023.0,198,10940.0,5160.0,Uster,38595.0
2023.0,199,10368.0,2542.0,Volketswil,36462.0
2023.0,200,13250.0,1304.0,Wangen-Brüttisellen,38051.0
2023.0,211,11777.0,227.0,Altikon,37822.0
2023.0,213,11467.0,528.0,Brütten,50404.0
2023.0,214,11574.0,337.0,Dägerlen,36055.0
2023.0,215,11583.0,276.0,Dättlikon,42661.0
2023.0,216,11565.0,521.0,Dinhard,39689.0
2023.0,218,12144.0,277.0,Ellikon an der Thur,37513.0
2023.0,219,12294.0,978.0,Elsau,35628.0
2023.0,220,12001.0,326.0,Hagenbuch,33667.0
2023.0,221,12283.0,848.0,Hettlingen,45586.0
2023.0,223,15514.0,1384.0,Neftenbach,40231.0
2023.0,224,13145.0,783.0,Pfungen,32063.0
2023.0,225,12889.0,791.0,Rickenbach (ZH),33065.0
2023.0,226,14120.0,250.0,Schlatt (ZH),30934.0
2023.0,227,12977.0,1631.0,Seuzach,43099.0
2023.0,228,10857.0,1107.0,Turbenthal,27046.0
2023.0,230,10347.0,16043.0,Winterthur,32488.0
2023.0,231,10312.0,1254.0,Zell (ZH),29914.0
2023.0,241,14365.0,354.0,Aesch (ZH),53440.0
2023.0,242,13690.0,1207.0,Birmensdorf (ZH),40585.0
2023.0,243,13691.0,2552.0,Dietikon,26289.0
2023.0,244,13692.0,839.0,Geroldswil,36381.0
2023.0,245,13693.0,743.0,Oberengstringen,37265.0
2023.0,246,13694.0,433.0,Oetwil an der Limmat,49331.0
2023.0,247,13695.0,1492.0,Schlieren,29524.0
2023.0,248,13696.0,999.0,Uitikon,75434.0
2023.0,249,13697.0,627.0,Unterengstringen,44557.0
2023.0,250,13698.0,1279.0,Urdorf,35388.0
2023.0,251,13699.0,758.0,Weiningen (ZH),38380.0
2023.0,261,13688.0,37270.0,Zürich,42364.0
2023.0,291,16621.0,995.0,Stammheim,
2023.0,292,16122.0,974.0,Wädenswil,32789.0
2023.0,293,16123.0,3834.0,Elgg,42936.0
2023.0,294,16081.0,1115.0,Horgen,32489.0
2023.0,295,16080.0,3357.0,Illnau-Effretikon,48403.0
2023.0,296,15671.0,2821.0,Bauma,32201.0
2023.0,297,15653.0,1459.0,Wiesendangen,30989.0
2023.0,298,15631.0,1755.0,Aarberg,40149.0
2023.0,301,14995.0,877.0,Bargen (BE),32208.0
2023.0,302,14996.0,323.0,Grossaffoltern,27490.0
2023.0,303,14997.0,1020.0,Kallnach,32191.0
2023.0,304,16124.0,679.0,Kappelen,31065.0
2023.0,305,14999.0,381.0,Lyss,35021.0
2023.0,306,15474.0,2648.0,Meikirch,31623.0
2023.0,307,15001.0,706.0,Radelfingen,38506.0
2023.0,309,15003.0,390.0,Rapperswil (BE),32306.0
2023.0,310,15672.0,868.0,Schüpfen,34584.0
2023.0,311,15005.0,926.0,Seedorf (BE),33909.0
2023.0,312,15006.0,903.0,Aarwangen,33018.0
2023.0,321,15007.0,1202.0,Auswil,28445.0
2023.0,322,15008.0,149.0,Bannwil,23122.0
2023.0,323,15009.0,245.0,Bleienbach,29542.0
2023.0,324,15010.0,244.0,Busswil bei Melchnau,26453.0
2023.0,325,15011.0,78.0,Gondiswil,
2023.0,326,15012.0,243.0,Langenthal,22880.0
2023.0,329,16606.0,3186.0,Lotzwil,29221.0
2023.0,331,15015.0,718.0,Madiswil,26279.0
2023.0,332,15475.0,1011.0,Melchnau,26962.0
2023.0,333,15017.0,496.0,Obersteckholz,25529.0
,334,,,Oeschenbach,28076.0
2023.0,335,15019.0,88.0,Reisiswil,
2023.0,336,15020.0,63.0,Roggwil (BE),
2023.0,337,15021.0,1240.0,Rohrbach,25675.0
2023.0,338,15022.0,453.0,Rohrbachgraben,23970.0
2023.0,339,15023.0,130.0,Rütschelen,
2023.0,340,15024.0,209.0,Schwarzhäusern,23161.0
2023.0,341,15025.0,178.0,Thunstetten,30436.0
2023.0,342,15026.0,893.0,Ursenbach,27888.0
2023.0,344,15027.0,300.0,Wynau,23811.0
2023.0,345,15028.0,538.0,Bern,25599.0
2023.0,351,15029.0,14898.0,Bolligen,36370.0
2023.0,352,15030.0,1541.0,Bremgarten bei Bern,42147.0
2023.0,353,15031.0,1113.0,Kirchlindach,43896.0
2023.0,354,15032.0,798.0,Köniz,44652.0
2023.0,355,15033.0,6822.0,Muri bei Bern,34764.0
2023.0,356,15034.0,2524.0,Oberbalm,49510.0
2023.0,357,15035.0,270.0,Stettlen,28045.0
2023.0,358,15036.0,682.0,Vechigen,37572.0
2023.0,359,15037.0,1576.0,Wohlen bei Bern,35605.0
2023.0,360,15038.0,2091.0,Zollikofen,39269.0
2023.0,361,15039.0,1662.0,Ittigen,32457.0
2023.0,362,15040.0,1589.0,Ostermundigen,34279.0
2023.0,363,15041.0,1903.0,Biel/Bienne,28319.0
2023.0,371,15042.0,6783.0,Evilard,25970.0
2023.0,372,15043.0,714.0,Arch,42927.0
2023.0,381,15044.0,507.0,Büetigen,30532.0
2023.0,382,15045.0,286.0,Büren an der Aare,30226.0
2023.0,383,15046.0,885.0,Diessbach bei Büren,30285.0
2023.0,385,15048.0,310.0,Dotzigen,29762.0
2023.0,386,15049.0,410.0,Lengnau (BE),26927.0
2023.0,387,15050.0,1283.0,Leuzigen,26751.0
2023.0,388,15051.0,418.0,Meienried,27109.0
2023.0,389,15052.0,21.0,Meinisberg,
2023.0,390,15053.0,446.0,Oberwil bei Büren,28851.0
2023.0,391,15054.0,296.0,Pieterlen,27891.0
2023.0,392,15055.0,959.0,Rüti bei Büren,24020.0
