id,name,type,latitude,longitude,city,radius_minutes
23080,Liestal,mm,47.4825911,7.7359876,Liestal,20
23160,Basel - Schützenmatt,m,47.5560094,7.5812888,Basel,20
23170,Basel - Allschwiler,m,47.5559314,7.5734192,Basel,20
23220,Allschwil - Ziegelei,m,47.5530962,7.5499775,Allschwil,20
23230,Laufen - Birscenter,mm,47.419968,7.5018211,Laufen,20
23310,Lehenmatt,m,47.547153,7.620881,Basel,20
23620,Dornach,m,47.4881024,7.6119786,Dornach,20
23640,Pratteln,mm,47.5204545,7.6940945,Pratteln,20
23670,Basel - Neuweiler,m,47.5469569,7.5642044,Basel,20
23720,Basel - Mülhauser,m,47.5685421,7.5796836,Basel,20
23740,Binningen - Gorenmatt,mm,47.5324671,7.5729746,Binningen,20
23790,Bubendorf,mm,47.4568583,7.7432173,Bubendorf,20
23800,Oberwil,mmm,47.5099303,7.5546791,Oberwil,20
23810,Muttenz - Lutzert,m,47.5338563,7.6333891,Muttenz,20
23820,Basel - Märtplatz,m,47.5592591,7.5877372,Basel,20
23830,Sissach,mm,47.462086,7.816352,Sissach,20
23840,Basel - Efringer,mm,47.5691589,7.5965886,Basel,20
23850,Reinach - Zentrum,m,47.4926693,7.5944243,Reinach BL,20
23870,Basel - Hardstrasse,m,47.549313,7.607221,Basel,20
23880,Basel - Eglisee,m,47.5701213,7.6152494,Basel,20
23890,Basel - Juniors Market,m,47.55872,7.6016293,Basel,20
23900,Basel - Bahnhof SBB,m,47.5479172,7.5886351,Basel,20
23910,Basel - Stücki,m,47.579952,7.5957171,Basel,20
24240,Basel - Claramarkt,mmm,47.5615832,7.5920619,Basel,20
24270,Porrentruy,mm,47.4164582,7.0771359,Porrentruy,20
24280,Basel - Drachen-Center,mm,47.5528056,7.5928077,Basel,20
24320,Delémont,mm,47.3635367,7.34649,Delémont,20
24360,Riehen - Dorf,mm,47.5852499,7.6519616,Riehen,20
24380,Muttenz - Rothausstrasse,mm,47.5263912,7.6556813,Muttenz,20
24400,Moutier,mm,47.2766867,7.3698395,Moutier,20
24420,Reinach - Mischeli,mm,47.5022541,7.5964432,Reinach BL,20
24440,Birsfelden,mm,47.5554924,7.6242615,Birsfelden,20
24460,Gelterkinden,mm,47.4660758,7.8506659,Gelterkinden,20
24480,Füllinsdorf - Schönthal,mm,47.502619,7.7251059,Füllinsdorf,20
24500,Breitenbach - Wydehof,mm,47.4083107,7.542466,Breitenbach,20
