id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0023080,Liestal,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Kasernenstrasse 1,4410,Liestal,CH,47.4825911,7.7359876
0023160,Basel - Schützenmatt,m,M-Migros,Kleine Filiale mit Grundsortiment,Schützenmattstrasse 27,4051,Basel,CH,47.5560094,7.5812888
0023170,Basel - Allschwiler,m,M-Migros,Kleine Filiale mit Grundsortiment,Allschwilerstrasse 31,4055,Basel,CH,47.5559314,7.5734192
0023220,Allschwil - Ziegelei,m,M-Migros,Kleine Filiale mit Grundsortiment,Baslerstrasse 191,4123,Allschwil,CH,47.5530962,7.5499775
0023230,Laufen - Birscenter,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 4,4242,Laufen,CH,47.419968,7.5018211
0023310,Lehenmatt,m,M-Migros,Kleine Filiale mit Grundsortiment,Lehenmattstrasse 260,4052,Basel,CH,47.547153,7.620881
0023620,Dornach,m,M-Migros,Kleine Filiale mit Grundsortiment,Wollmattweg 7,4143,Dornach,CH,47.4881024,7.6119786
0023640,Pratteln,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Burggartenstrasse 21,4133,Pratteln,CH,47.5204545,7.6940945
0023670,Basel - Neuweiler,m,M-Migros,Kleine Filiale mit Grundsortiment,Neuweilerplatz 7,4054,Basel,CH,47.5469569,7.5642044
0023720,Basel - Mülhauser,m,M-Migros,Kleine Filiale mit Grundsortiment,Mülhauserstrasse 70-72,4056,Basel,CH,47.5685421,7.5796836
0023740,Binningen - Gorenmatt,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Gorenmattstrasse 17,4102,Binningen,CH,47.5324671,7.5729746
0023790,Bubendorf,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Grüngenstrasse 1,4416,Bubendorf,CH,47.4568583,7.7432173
0023800,Oberwil,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Mühlemattstrasse 18,4104,Oberwil,CH,47.5099303,7.5546791
0023810,Muttenz - Lutzert,m,M-Migros,Kleine Filiale mit Grundsortiment,Lutzertstrasse 40,4132,Muttenz,CH,47.5338563,7.6333891
0023820,Basel - Märtplatz,m,M-Migros,Kleine Filiale mit Grundsortiment,Eisengasse 12,4051,Basel,CH,47.5592591,7.5877372
0023830,Sissach,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Hauptstrasse 17,4450,Sissach,CH,47.462086,7.816352
0023840,Basel - Efringer,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Efringerstrasse 32,4057,Basel,CH,47.5691589,7.5965886
0023850,Reinach - Zentrum,m,M-Migros,Kleine Filiale mit Grundsortiment,Herrenweg 11,4153,Reinach BL,CH,47.4926693,7.5944243
