year,municipality_id,municipality_hist_id,total_population
2023,1,13256,558
2023,2,11742,1916
2023,3,11801,1115
2023,4,11992,1088
2023,5,12249,874
2023,6,12671,356
2023,7,12674,520
2023,8,12738,179
2023,9,12433,1185
2023,10,12497,1288
2023,11,13124,764
2023,12,12891,332
2023,13,10575,920
2023,14,13255,1102
2023,22,11862,266
2023,23,11855,242
2023,24,15513,331
2023,25,11573,573
2023,26,12182,226
2023,27,11973,794
2023,28,11997,438
2023,29,11935,408
2023,31,12240,562
2023,33,12699,629
2023,34,12635,532
2023,35,12742,577
2023,37,13128,494
2023,38,12912,408
2023,39,10563,294
2023,40,10898,377
2023,41,10899,159
2023,43,10365,118
2023,51,11683,642
2023,52,11685,1801
2023,53,11461,2384
2023,54,11563,1057
2023,55,12168,1125
2023,56,12292,1588
2023,57,11960,583
2023,58,12056,1085
2023,59,12166,446
2023,60,12220,508
2023,61,12178,361
2023,62,12673,2061
2023,63,12720,536
2023,64,12547,1146
2023,65,12524,285
2023,66,12483,1534
2023,67,13090,1023
2023,68,12919,658
2023,69,10451,2057
2023,70,10443,198
2023,71,10268,470
2023,72,10331,848
2023,81,11704,186
2023,82,11786,377
2023,83,11456,897
2023,84,11578,580
2023,85,11581,391
2023,86,11567,895
2023,87,12181,298
2023,88,12537,793
2023,89,12534,856
2023,90,12560,1666
2023,91,12568,746
2023,92,12469,978
2023,93,12447,430
2023,94,13126,569
2023,95,13166,104
2023,96,13168,2184
2023,97,12834,1107
2023,98,13046,234
2023,99,13037,355
2023,100,10383,596
2023,101,10597,691
2023,102,10448,385
2023,111,11709,1253
2023,112,11478,1596
2023,113,12159,1722
2023,114,12002,792
2023,115,12023,2179
2023,116,11970,823
2023,117,12156,2426
2023,118,12883,2235
2023,119,12951,384
2023,120,10459,2004
2023,121,10277,3301
2023,131,11745,2251
2023,135,12701,1500
2023,136,12637,1476
2023,137,12461,911
2023,138,12907,2456
2023,139,12832,982
2023,141,10691,2395
2023,151,12301,1200
2023,152,12316,1434
2023,153,12143,1867
2023,154,12592,2895
2023,155,12754,1895
2023,156,12408,2424
2023,157,12501,864
2023,158,10363,2751
2023,159,13259,1122
2023,160,10326,1055
2023,161,13683,2130
2023,172,11989,893
2023,173,12161,943
2023,176,12821,1202
2023,177,13137,2062
2023,178,12831,1262
2023,180,10389,973
2023,181,10242,572
2023,182,10334,318
2023,191,12205,3473
2023,192,12123,1803
2023,193,12248,1412
2023,194,12073,619
2023,195,12620,2246
2023,196,12427,825
2023,197,12956,639
2023,198,10940,5160
2023,199,10368,2542
2023,200,13250,1304
2023,211,11777,227
2023,213,11467,528
2023,214,11574,337
2023,215,11583,276
2023,216,11565,521
2023,218,12144,277
2023,219,12294,978
2023,220,12001,326
2023,221,12283,848
2023,223,15514,1384
2023,224,13145,783
2023,225,12889,791
2023,226,14120,250
2023,227,12977,1631
2023,228,10857,1107
2023,230,10347,16043
2023,231,10312,1254
2023,241,14365,354
2023,242,13690,1207
2023,243,13691,2552
2023,244,13692,839
2023,245,13693,743
2023,246,13694,433
2023,247,13695,1492
2023,248,13696,999
2023,249,13697,627
2023,250,13698,1279
2023,251,13699,758
2023,261,13688,37270
2023,291,16621,995
2023,292,16122,974
2023,293,16123,3834
2023,294,16081,1115
2023,295,16080,3357
2023,296,15671,2821
2023,297,15653,1459
2023,298,15631,1755
2023,301,14995,877
2023,302,14996,323
2023,303,14997,1020
2023,304,16124,679
2023,305,14999,381
2023,306,15474,2648
2023,307,15001,706
2023,309,15003,390
2023,310,15672,868
2023,311,15005,926
